user,location,source,place,created_at,geo_enabled,friends_count,text,retweet_count,retweeted_status
HryTweet_,India,Twitter for Android,,2021-04-12 02:31:01,True,4853,"Our farmer’s haven’t given up the protesting. we shouldn’t give up posting, please do your part raise your voice fo… https://t.co/EACH9pj1yS",4,False
judge_rupinder,,ISupportFarmers,,2021-04-12 02:30:57,False,56,"BJP torturing farmers through Delhi Police, says PPCC Presi
#DelhiPolice_TorturingFarmers
 I support farmers!!! https://t.co/24ykTYEzBz",2,False
navin4nation,India,Twitter for Android,,2021-04-12 02:30:47,False,2278,@PreetKanwalGre1 @deltatamilian @Oshoaum1 @ShibuVarkey_dr @Musleuddin17 @MamtaKu57972524 @fromtrctr2twitr… https://t.co/4oJAgagBi4,0,False
jssaini54634980,,ISupportFarmers,,2021-04-12 02:30:46,False,164,BJP goons throwing stones at farmers with Delhi police just standing and watching from behind. Shame Delhi police… https://t.co/Qx8NjPoPkk,0,False
with_kaur,,Twitter for iPhone,,2021-04-12 02:30:45,False,1470,@D51184975 Welcome #DelhiPolice_TorturingFarmers #FarmersProtest,0,False
chasingsaraab,my king's Palace ,Twitter for Android,,2021-04-12 02:30:42,False,452,"Every evil has a bad ending.
Delhi police your end is approaching soon with the end of BJP era… https://t.co/yca5K9GvWM",1,False
scruperfect,Earth,Twitter for Android,,2021-04-12 02:30:42,False,196,Both incite violence against minorities. Potus fuelled the white supremacist and Lotus is  busy pushing his Hindutv… https://t.co/3UDCGvEQLN,5,False
sidhujot6,,Twitter for Android,,2021-04-12 02:30:41,False,297,"#DelhiPolice_TorturingFarmers Delhi police targeting,chasing &amp; torturing farmers.

√Try to suppress voices raising… https://t.co/BLWuPyjImi",0,False
Devilwearprada0,,Twitter for Android,,2021-04-12 02:30:39,False,74,Punjab isn't alien to police brutalities...the decades of 1980 and early 90's have numerous such stories from Punja… https://t.co/tgsA72j0kI,0,False
loyal90901246,,Twitter for iPhone,,2021-04-12 02:30:38,False,467,World must condemn @AmitShah &amp; @DelhiPolice for gross #HumanRightsViolations &amp; criminal torture of innocent farmers… https://t.co/21hjcIquzE,0,False
Manniepreet,,NoFoodNoFarmer,,2021-04-12 02:30:35,False,192,"Shame on Delhi police for arresting 80 years old farmer and torturing him
#DelhiPolice_TorturingFarmers
 The World… https://t.co/s18pyPKGDS",1,False
Rana_Baljit_,,Twitter for Android,,2021-04-12 02:30:32,True,20,We demand that you stand up to protect the rights of the youth of the state and register a criminal case against th… https://t.co/SVtLzd6gtz,2,False
KimGrewal29,,Twitter for iPhone,,2021-04-12 02:30:31,True,1277,@hkp3003 No doubt  #DelhiPolice_TorturingFarmers,1,False
MangaSi88914640,,Twitter for Android,,2021-04-12 02:30:30,True,277,"#Manga singh stand with farmers
#DelhiPolice_TorturingFarmers",0,False
PROUDYJAAT,भारत,Twitter for Android,,2021-04-12 02:30:27,False,86,"#DelhiPolice_TorturingFarmers
Stop torturing farmers https://t.co/Pp5VnXKqvz",0,False
Jagraj55,,Twitter for Android,,2021-04-12 02:30:27,False,44,"Delhi police targeting,chasing &amp; torturing farmers.

.Try to suppress voices raising against atrocities.
.Try to th… https://t.co/1X2BzH5WiZ",0,False
loyal90901246,,Twitter for iPhone,,2021-04-12 02:30:26,False,467,World must condemn @AmitShah &amp; @DelhiPolice for gross #HumanRightsViolations &amp; criminal torture of innocent farmers… https://t.co/npXZXcjAOL,0,False
YSAnttal,,Twitter for Android,,2021-04-12 02:30:26,False,1158,"Good Morning ji  🙏🌄   9
#DelhiPolice_TorturingFarmers https://t.co/gJIULHjVk9",0,False
IamProudPunjabi,Punjab,Twitter for Android,,2021-04-12 02:30:24,False,530,"All the BJP goons are roaming free but Since day one, Delhi police has been torturing the farmers.… https://t.co/1t2wLREbmA",0,False
SonnyJudge1,,NoFoodNoFarmer,,2021-04-12 02:30:23,False,561,"SC registers suo motu case against Police action on farmers
In an open letter written by Punjab University students… https://t.co/PsS4Z4PahP",0,False
loyal90901246,,Twitter for iPhone,,2021-04-12 02:30:13,False,467,"Another innocent Sikh student abducted by @DelhiPolice in Punjab, brought to Delhi &amp; horrifically tortured… https://t.co/uFKleH4FOy",0,False
SukheetJataana,Canada,NoFoodNoFarmer,,2021-04-12 02:30:12,False,494,"Human rights must be protected across the world. 
#DelhiPolice_TorturingFarmers
 Chardi Kala !! https://t.co/DphG6WRqZy",0,False
navin4nation,India,Twitter for Android,,2021-04-12 02:30:08,False,2278,"@Kisanektamorcha @capt_amarinder Disgusting display of contemptible cowardice by Delhi Police!!!
#DelhiPolice_TorturingFarmers",1,False
NauNihal2018,,ISupportFarmers,,2021-04-12 02:30:05,False,71,"Shame on Delhi police for arresting 80 years old farmer and torturing him
#DelhiPolice_TorturingFarmers
 Farmers pr… https://t.co/6szdj0kvE7",0,False
Taman_Rupal,"Ludhiana, Punjab ",Twitter for iPhone,,2021-04-12 02:29:58,False,550,"Lakha Sidana’s brother was mercilessly beaten by the Delhi police 

And this is not the first time that our farmers… https://t.co/GuaJ0pej9r",10,False
rajasthani03,,ISupportFarmers,,2021-04-12 02:29:54,False,23,Delhi police is beating farmers. Farmers are peacefully protesting for their demands to be heard.… https://t.co/ylTWXLgLYe,0,False
sidhujot6,,Twitter for Android,,2021-04-12 02:29:52,False,297,#DelhiPolice_TorturingFarmers One of the visuals showing the torturing mode to restrict farmers!… https://t.co/hOso33mPqL,0,False
DeepSan05970557,,Twitter for Android,,2021-04-12 02:29:46,False,3006,"@nstomar
Can you tell us who are those  farmer unions you are claiming the support of? Currently there are  450+ Fa… https://t.co/1uBb9H3mWs",0,False
indianproud12,India,Twitter for iPhone,,2021-04-12 02:29:46,False,357,This fascism is peddled quite openly in police as well. There’s absolutely no neutrality.… https://t.co/3RJwsVgNvL,2,False
BhagwantSandh12,,ISupportFarmers,,2021-04-12 02:29:43,False,94,"Haryana and Delhi police continue to arrest peaceful farmer protestors. 
https://t.co/Xr1gM6GMe2… https://t.co/P8ukpVBmQq",0,False
HryTweet_,India,Twitter for Android,,2021-04-12 02:29:38,True,4853,"We are with our Farmers. 
#FarmersProtest
#DelhiPolice_TorturingFarmers",2,False
sidhujot6,,Twitter for Android,,2021-04-12 02:29:32,False,297,"#DelhiPolice_TorturingFarmers March on san Francisco's iconic 
Golden gate bridge is solidarity with the farmers pr… https://t.co/yAMqvnKlYi",0,False
kiranjattsandhu,"Portage, MI",ISupportFarmers,,2021-04-12 02:29:31,False,69,"Delhi police is beating farmers who are protesting peacefully.
#DelhiPolice_TorturingFarmers
 Support farmers!!!!!!! https://t.co/fB3iQFsXOo",2,False
KULVEER29653138,Hatepur,Twitter Web App,,2021-04-12 02:29:24,False,395,"Delhi Police don't harassment our innocent farmers, they are already irritate by govt &amp; weather. 
If you have coura… https://t.co/8uySHVSrrU",4,False
kaurraman00,,ISupportFarmers,,2021-04-12 02:29:20,False,152,Delhi Police arrested some farmers while they were shopping for groceries. False charges being imposed on them.… https://t.co/jh678oztlb,2,False
imposterjatt,,Twitter for iPhone,,2021-04-12 02:29:14,False,77,"Speak up for farmers!!

#DelhiPolice_TorturingFarmers https://t.co/LribbNliJ6",1,False
KingKisshor,,Twitter for iPhone,,2021-04-12 02:29:12,False,5,"@Ashutoshyadavv_ @CPDelhi can’t control Rapes Crimes Murders Riots Killings in Delhi 
All they can do is to catch i… https://t.co/nNTpwzo0sO",1,False
deeprana1007,,ISupportFarmers,,2021-04-12 02:29:08,False,71,Use of force and torturing farmers by Delhi police on behest of Modi is not going to work. United nations stand tog… https://t.co/bzwlnZdFk0,1,False
AnahatGill2,,Twitter for Android,,2021-04-12 02:29:06,False,76,"More you suppress More the Upswing.
More power to Farmers.
#DelhiPolice_TorturingFarmers 
#FarmersProtest",2,False
pLastHuman,,Twitter for Android,,2021-04-12 02:29:06,False,26,"How are people pretending 
#FarmersProtest is over
#DelhiPolice_TorturingFarmers https://t.co/HVJYHmmznE",1,False
MohanSi56453954,,Twitter for Android,,2021-04-12 02:29:02,True,1004,"Use tagline 
#DelhiPolice_TorturingFarmers https://t.co/DUrJlGEbLq",3,False
